id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web
4524,825,Visa,Debit,4.34468E+15,dic-22,623,YES,2,"$24,295",sep-02,2008,No
2731,825,Visa,Debit,4.95697E+15,dic-20,393,YES,2,"$21,968",abr-14,2014,No
3701,825,Visa,Debit,4.58231E+15,feb-24,719,YES,2,"$46,414",jul-03,2004,No
42,825,Visa,Credit,4.87949E+15,ago-24,693,NO,1,"$12,400",ene-03,2012,No
4659,825,Mastercard,Debit (Prepaid),5.72287E+15,mar-09,75,YES,1,$28,sep-08,2009,No
4537,1746,Visa,Credit,4.4049E+15,sep-03,736,YES,1,"$27,500",sep-03,2012,No
1278,1746,Visa,Debit,4.00148E+15,jul-22,972,YES,2,"$28,508",feb-11,2011,No
3687,1746,Mastercard,Debit,5.62722E+15,jun-22,48,YES,2,"$9,022",jul-03,2015,No
3465,1746,Mastercard,Debit (Prepaid),5.71138E+15,nov-20,722,YES,2,$54,jun-10,2015,No
3754,1746,Mastercard,Debit (Prepaid),5.76612E+15,feb-23,908,YES,1,$99,jul-06,2012,No
5144,1718,Mastercard,Debit,5.4952E+15,mar-22,677,YES,2,"$31,599",oct-09,2009,No
2029,1718,Mastercard,Debit,5.8045E+15,jul-23,258,NO,2,"$27,480",mar-02,2008,No
2379,1718,Mastercard,Debit,5.76635E+15,feb-20,992,YES,1,"$26,743",mar-19,2019,No
2732,1718,Visa,Debit,4.24202E+15,jun-20,928,YES,1,"$31,463",abr-14,2014,No
4706,1718,Mastercard,Debit,5.19103E+15,jun-24,360,YES,1,"$16,055",sep-09,2009,No
281,708,Visa,Credit,4.01726E+15,may-15,877,YES,2,"$98,100",ene-11,2011,No
1106,708,Mastercard,Debit (Prepaid),5.58197E+15,jun-20,448,YES,1,$62,feb-07,2007,No
5621,708,Visa,Debit,4.03224E+15,jun-22,53,YES,1,"$132,439",nov-10,2011,No
5165,708,Visa,Debit,4.93597E+15,jun-20,649,YES,1,"$125,723",oct-09,2010,No
5757,1164,Mastercard,Debit,5.90503E+15,ene-22,886,YES,1,"$34,900",dic-99,2012,No
27,68,Visa,Credit,4.09962E+15,sep-21,74,YES,2,"$9,900",ene-02,2019,No
4648,68,Visa,Debit,4.2812E+15,jul-13,865,YES,2,"$21,587",sep-07,2007,No
5435,68,Visa,Credit,4.41146E+15,nov-22,922,YES,2,"$15,800",nov-05,2011,No
3287,1075,Mastercard,Debit,5.20248E+15,abr-22,861,YES,1,"$29,964",jun-05,2014,No
4761,1075,Mastercard,Credit,5.08977E+15,jul-23,686,YES,2,"$11,200",sep-10,2010,No
5286,1075,Mastercard,Debit,5.76734E+15,dic-21,669,NO,2,"$26,753",oct-14,2014,No
744,1711,Visa,Debit,4.59583E+15,may-23,689,NO,2,"$17,480",ene-20,2020,No
5559,1116,Mastercard,Debit,5.34105E+15,sep-21,396,YES,2,"$26,546",nov-09,2009,No
4905,1116,Mastercard,Debit,5.66883E+15,ene-21,356,YES,1,"$23,253",sep-17,2017,No
79,1116,Visa,Credit,4.40006E+15,feb-21,497,YES,1,"$16,100",ene-05,2014,No
301,1116,Visa,Credit,4.80855E+15,feb-21,921,YES,2,"$8,700",ene-12,2012,No
3115,1116,Mastercard,Debit,5.22474E+15,ene-19,922,YES,1,"$29,333",may-12,2012,No
3880,1752,Mastercard,Debit,5.29418E+15,jul-24,265,YES,2,"$9,496",jul-09,2012,No
1766,192,Visa,Debit,4.8578E+15,jul-21,930,YES,1,"$25,499",feb-20,2020,No
